gene_name	chr	in_mecp2_no_mch	k119ub_peak_gain
Zfp637	chr6	FALSE	FALSE
Appl2	chr10	FALSE	FALSE
Tcaf2	chr6	FALSE	TRUE
Efna4	chr3	FALSE	FALSE
H4c4	chr13	FALSE	FALSE
Kcnn2	chr18	FALSE	TRUE
Plcl2	chr17	FALSE	TRUE
C8b	chr4	FALSE	FALSE
Meox1	chr11	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE
Prmt6	chr3	FALSE	FALSE
Lingo2	chr4	FALSE	FALSE
Smim20	chr5	FALSE	TRUE
Mfsd9	chr1	FALSE	TRUE
Mycn	chr12	FALSE	FALSE
Mustn1	chr14	FALSE	FALSE
Rab11fip2	chr19	FALSE	TRUE
Cyp27a1	chr1	FALSE	FALSE
Tom1	chr8	FALSE	TRUE
Tmem158	chr9	FALSE	FALSE
Hpdl	chr4	FALSE	TRUE
Kdm1b	chr13	FALSE	FALSE
Nxn	chr11	FALSE	FALSE
Dlg1	chr16	FALSE	TRUE
Gcnt4	chr13	FALSE	TRUE
Slc10a4	chr5	FALSE	FALSE
Uhrf2	chr19	FALSE	TRUE
Gapt	chr13	FALSE	FALSE
Jade1	chr3	FALSE	FALSE
Ap1ar	chr3	FALSE	TRUE
Fndc3b	chr3	FALSE	FALSE
1700018B08Rik	chr8	FALSE	FALSE
Adam15	chr3	FALSE	FALSE
Cnfn	chr7	FALSE	FALSE
Kif5b	chr18	FALSE	TRUE
Ptpn21	chr12	FALSE	TRUE
Txndc8	chr4	FALSE	TRUE
Nxf7	chrX	FALSE	FALSE
Itga4	chr2	FALSE	FALSE
Tmem132b	chr5	FALSE	FALSE
Glrx	chr13	FALSE	TRUE
Aldh6a1	chr12	FALSE	TRUE
Tmem151b	chr17	FALSE	FALSE
S1pr2	chr9	FALSE	FALSE
Pyy	chr11	FALSE	FALSE
Id2	chr12	FALSE	FALSE
Dcx	chrX	TRUE	TRUE
Slc31a2	chr4	FALSE	TRUE
Jup	chr11	FALSE	FALSE
Ctrb1	chr8	FALSE	FALSE
Ftcd	chr10	FALSE	FALSE
Mecom	chr3	FALSE	FALSE
Cerk	chr15	FALSE	FALSE
Traf3	chr12	FALSE	FALSE
Pttg1ip	chr10	FALSE	FALSE
Adgrl1	chr8	FALSE	TRUE
Sos1	chr17	FALSE	TRUE
Tas2r134	chr2	FALSE	FALSE
Yap1	chr9	FALSE	FALSE
Naf1	chr8	FALSE	TRUE
Cyp4v3	chr8	FALSE	FALSE
Git1	chr11	FALSE	FALSE
Prkd1	chr12	FALSE	TRUE
Abcd4	chr12	FALSE	FALSE
Parp14	chr16	FALSE	FALSE
Bcam	chr7	FALSE	FALSE
B3gnt5	chr16	FALSE	FALSE
Plch2	chr4	FALSE	FALSE
Slc23a4	chr6	FALSE	FALSE
Acadl	chr1	FALSE	FALSE
2310009B15Rik	chr1	FALSE	TRUE
Luzp2	chr7	FALSE	TRUE
Bmt2	chr6	FALSE	TRUE
Vdac1	chr11	FALSE	FALSE
Lpcat1	chr13	FALSE	TRUE
Tmprss3	chr17	FALSE	FALSE
Ticrr	chr7	FALSE	FALSE
Evx1	chr6	FALSE	FALSE
Primpol	chr8	FALSE	TRUE
Mettl21a	chr1	FALSE	TRUE
Pld2	chr11	FALSE	FALSE
Rnd2	chr11	FALSE	FALSE
Nfu1	chr6	FALSE	FALSE
Mapk11	chr15	FALSE	FALSE
Ggt5	chr10	FALSE	FALSE
Slc4a3	chr1	FALSE	FALSE
Gcnt1	chr19	FALSE	FALSE
Nfatc4	chr14	FALSE	FALSE
Slc4a11	chr2	FALSE	FALSE
Fgf13	chrX	FALSE	FALSE
Gcdh	chr8	FALSE	TRUE
Ano2	chr6	FALSE	FALSE
Steap2	chr5	FALSE	TRUE
Stil	chr4	FALSE	TRUE
Insyn2a	chr7	FALSE	FALSE
Ryr3	chr2	FALSE	TRUE
AA986860	chr1	FALSE	FALSE
Pygb	chr2	FALSE	TRUE
Cadm3	chr1	FALSE	TRUE
Net1	chr13	FALSE	TRUE
Zp1	chr19	FALSE	FALSE
Matn2	chr15	FALSE	FALSE
Ndufa10	chr1	FALSE	FALSE
Stac	chr9	FALSE	FALSE
Fhl3	chr4	FALSE	FALSE
Rax	chr18	FALSE	FALSE
Fosb	chr7	FALSE	TRUE
Rbm4b	chr19	FALSE	FALSE
Ak4	chr4	FALSE	FALSE
Ppfia4	chr1	FALSE	FALSE
Wdr3	chr3	FALSE	TRUE
Tle2	chr10	FALSE	TRUE
Gnpda1	chr18	FALSE	TRUE
Bag1	chr4	FALSE	TRUE
Ebf3	chr7	FALSE	FALSE
Zfp593	chr4	FALSE	FALSE
H2bc14	chr13	FALSE	TRUE
Cxcl1	chr5	FALSE	FALSE
B3galnt1	chr3	FALSE	FALSE
Hmx1	chr5	FALSE	FALSE
Ankrd40	chr11	FALSE	FALSE
Usp1	chr4	FALSE	TRUE
Siglec15	chr18	FALSE	FALSE
Srms	chr2	FALSE	FALSE
Isl1	chr13	FALSE	FALSE
Mkks	chr2	FALSE	TRUE
Gabra5	chr7	FALSE	FALSE
Cdh17	chr4	FALSE	FALSE
Acsbg1	chr9	FALSE	FALSE
Kbtbd8	chr6	FALSE	FALSE
Ugdh	chr5	FALSE	FALSE
Tlr9	chr9	FALSE	FALSE
Ly6h	chr15	FALSE	FALSE
Eloc	chr1	FALSE	TRUE
Fam43b	chr4	FALSE	FALSE
Lpl	chr8	FALSE	FALSE
Pax1	chr2	FALSE	FALSE
Gck	chr11	FALSE	FALSE
Eva1a	chr6	FALSE	FALSE
Hbegf	chr18	FALSE	TRUE
Dbi	chr1	FALSE	TRUE
Gfi1	chr5	FALSE	FALSE
Hmox1	chr8	FALSE	FALSE
Slc41a1	chr1	FALSE	FALSE
Adora2a	chr10	FALSE	FALSE
C1qtnf4	chr2	FALSE	FALSE
Hapln2	chr3	FALSE	FALSE
Dock11	chrX	FALSE	FALSE
Marchf11	chr15	FALSE	TRUE
Mfsd2a	chr4	FALSE	FALSE
Raly	chr2	FALSE	FALSE
Dennd2a	chr6	FALSE	FALSE
Ubxn2b	chr4	FALSE	TRUE
Gsg1	chr6	FALSE	FALSE
Ep300	chr15	FALSE	FALSE
Calu	chr6	FALSE	TRUE
Grm2	chr9	FALSE	FALSE
Sema4a	chr3	FALSE	FALSE
Inpp5k	chr11	FALSE	FALSE
Jpt1	chr11	FALSE	TRUE
Fam43a	chr16	FALSE	FALSE
Nobox	chr6	FALSE	TRUE
Loxl4	chr19	FALSE	FALSE
Ecrg4	chr1	FALSE	FALSE
Extl1	chr4	FALSE	FALSE
Ccdc183	chr2	FALSE	FALSE
Hcrtr2	chr9	FALSE	FALSE
Pkp4	chr2	FALSE	TRUE
Irf8	chr8	FALSE	FALSE
Rabif	chr1	FALSE	FALSE
Cox4i2	chr2	FALSE	FALSE
Acaa2	chr18	FALSE	TRUE
Dnajc4	chr19	FALSE	TRUE
A530016L24Rik	chr12	FALSE	FALSE
Adamts20	chr15	FALSE	FALSE
Il12b	chr11	FALSE	FALSE
Npr3	chr15	FALSE	FALSE
Chodl	chr16	FALSE	TRUE
Rgs14	chr13	FALSE	FALSE
Adap1	chr5	FALSE	FALSE
Katnb1	chr8	FALSE	TRUE
Plekhb1	chr7	FALSE	FALSE
Slc34a2	chr5	FALSE	FALSE
Dad1	chr14	FALSE	FALSE
Abracl	chr10	FALSE	TRUE
Depdc1a	chr3	FALSE	TRUE
Ctla4	chr1	FALSE	TRUE
Bmf	chr2	FALSE	TRUE
Cnnm3	chr1	FALSE	FALSE
Tpm1	chr9	FALSE	FALSE
Pign	chr1	FALSE	TRUE
Asic1	chr15	FALSE	FALSE
Tead4	chr6	FALSE	FALSE
Bicdl2	chr17	FALSE	FALSE
Mon1b	chr8	FALSE	FALSE
Lamp5	chr2	TRUE	FALSE
Pigk	chr3	FALSE	FALSE
Tm9sf3	chr19	FALSE	FALSE
Smim31	chr8	FALSE	FALSE
Blcap	chr2	FALSE	FALSE
Zfp64	chr2	FALSE	FALSE
Dnah2	chr11	FALSE	FALSE
Mapk8ip1	chr2	FALSE	FALSE
Mfap3l	chr8	FALSE	TRUE
Lgals12	chr19	FALSE	FALSE
Celsr2	chr3	FALSE	FALSE
Usp6nl	chr2	FALSE	TRUE
Exoc3	chr13	FALSE	FALSE
Erich6	chr3	FALSE	TRUE
Dand5	chr8	FALSE	FALSE
Slc39a5	chr10	FALSE	FALSE
Cdh5	chr8	FALSE	FALSE
Nog	chr11	FALSE	FALSE
Ermn	chr2	FALSE	TRUE
Tmc8	chr11	FALSE	FALSE
G3bp1	chr11	FALSE	FALSE
Bend4	chr5	FALSE	FALSE
Fa2h	chr8	FALSE	TRUE
Tm4sf4	chr3	FALSE	FALSE
Abca1	chr4	FALSE	TRUE
Txn1	chr4	FALSE	TRUE
Foxj2	chr6	FALSE	TRUE
Cpn2	chr16	FALSE	FALSE
Ifrd1	chr12	FALSE	TRUE
Comtd1	chr14	FALSE	TRUE
Tada1	chr1	FALSE	TRUE
Tac4	chr11	FALSE	FALSE
Cx3cl1	chr8	FALSE	FALSE
Cyp2d26	chr15	FALSE	FALSE
Gpr83	chr9	FALSE	FALSE
Atf7ip	chr6	FALSE	TRUE
Tmem18	chr12	FALSE	TRUE
Fam50b	chr13	FALSE	FALSE
Degs2	chr12	FALSE	FALSE
Hsd11b2	chr8	FALSE	FALSE
St3gal2	chr8	FALSE	FALSE
Stac2	chr11	FALSE	FALSE
Nufip1	chr14	FALSE	TRUE
Castor1	chr11	FALSE	FALSE
Angptl7	chr4	FALSE	FALSE
Acox2	chr14	FALSE	FALSE
Mpz	chr1	FALSE	FALSE
Irf5	chr6	FALSE	FALSE
Pdyn	chr2	FALSE	FALSE
Tuba8	chr6	FALSE	FALSE
Hnf1b	chr11	FALSE	FALSE
Habp4	chr13	FALSE	FALSE
Phgr1	chr2	FALSE	TRUE
Ctsh	chr9	FALSE	FALSE
Ctdspl	chr9	FALSE	FALSE
Slc25a22	chr7	FALSE	FALSE
Cdh3	chr8	FALSE	FALSE
Smg9	chr7	FALSE	FALSE
Sulf1	chr1	FALSE	FALSE
Arid5a	chr1	FALSE	FALSE
Zfp663	chr2	FALSE	FALSE
Nod1	chr6	FALSE	FALSE
Pex1	chr5	FALSE	TRUE
Csrp1	chr1	FALSE	FALSE
Bivm	chr1	FALSE	TRUE
Ptpdc1	chr13	FALSE	TRUE
Npas1	chr7	FALSE	FALSE
Casq2	chr3	FALSE	FALSE
Vwc2	chr11	FALSE	FALSE
Aig1	chr10	FALSE	TRUE
Eef2kmt	chr16	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
Oard1	chr17	FALSE	FALSE
Cyp11a1	chr9	FALSE	FALSE
Egr2	chr10	FALSE	FALSE
Bbs7	chr3	FALSE	TRUE
Tspyl2	chrX	FALSE	TRUE
Rad9b	chr5	FALSE	FALSE
Tbc1d22a	chr15	FALSE	TRUE
Lnpep	chr17	FALSE	TRUE
Minpp1	chr19	FALSE	FALSE
Top2b	chr14	FALSE	TRUE
Sdcbp2	chr2	FALSE	TRUE
Eps8l3	chr3	FALSE	FALSE
Irak3	chr10	FALSE	FALSE
Kcnj12	chr11	FALSE	FALSE
Cyp1b1	chr17	FALSE	FALSE
Cacng4	chr11	FALSE	FALSE
Hes7	chr11	FALSE	FALSE
Ap5z1	chr5	FALSE	FALSE
D6Ertd527e	chr6	FALSE	FALSE
Vamp4	chr1	FALSE	TRUE
Nek6	chr2	FALSE	TRUE
Hs3st4	chr7	FALSE	FALSE
Sall3	chr18	FALSE	FALSE
Tnfaip2	chr12	FALSE	FALSE
Suclg1	chr6	FALSE	FALSE
Slc11a2	chr15	FALSE	TRUE
Tank	chr2	FALSE	TRUE
Il17b	chr18	FALSE	FALSE
Clvs2	chr10	FALSE	TRUE
Haus4	chr14	FALSE	TRUE
S1pr1	chr3	FALSE	FALSE
Ttll1	chr15	FALSE	FALSE
Rspo1	chr4	FALSE	FALSE
Abhd14b	chr9	FALSE	FALSE
Tyrp1	chr4	FALSE	TRUE
Napg	chr18	FALSE	TRUE
Rasl11b	chr5	FALSE	TRUE
Chit1	chr1	FALSE	FALSE
Slc30a4	chr2	FALSE	TRUE
Fndc3a	chr14	FALSE	TRUE
Cavin2	chr1	FALSE	TRUE
Zfp267	chr3	FALSE	TRUE
Rita1	chr5	FALSE	FALSE
Fem1al	chr11	FALSE	FALSE
Eif4e2	chr1	FALSE	FALSE
Atoh1	chr6	FALSE	TRUE
Ntrk1	chr3	FALSE	FALSE
Eno4	chr19	FALSE	TRUE
Gpr157	chr4	FALSE	FALSE
Mcm5	chr8	FALSE	TRUE
Shisal2b	chr13	FALSE	FALSE
Txnip	chr3	FALSE	TRUE
Clu	chr14	FALSE	TRUE
Eif2b2	chr12	FALSE	FALSE
Slc46a2	chr4	FALSE	FALSE
Jag1	chr2	FALSE	FALSE
Tnfrsf21	chr17	FALSE	FALSE
Pigr	chr1	FALSE	FALSE
Ubn1	chr16	FALSE	FALSE
Cxcl5	chr5	FALSE	FALSE
Rubcnl	chr14	FALSE	FALSE
Tmem94	chr11	FALSE	FALSE
Tmem220	chr11	FALSE	TRUE
Ccdc186	chr19	FALSE	TRUE
Cmpk2	chr12	FALSE	TRUE
Tfdp1	chr8	FALSE	TRUE
Armc9	chr1	FALSE	TRUE
Gpr88	chr3	FALSE	TRUE
Togaram1	chr12	FALSE	TRUE
Gnmt	chr17	FALSE	FALSE
Aspg	chr12	FALSE	FALSE
Nat8	chr6	FALSE	FALSE
Ankrd28	chr14	FALSE	TRUE
Lypd1	chr1	FALSE	TRUE
Abcc3	chr11	FALSE	FALSE
E2f8	chr7	FALSE	FALSE
Arl6	chr16	FALSE	TRUE
Nudt6	chr3	FALSE	TRUE
Necab3	chr2	FALSE	TRUE
Pebp4	chr14	FALSE	FALSE
Tapt1	chr5	FALSE	TRUE
Ccdc106	chr7	FALSE	TRUE
Bmp8a	chr4	FALSE	FALSE
Kcne1	chr16	FALSE	FALSE
Dse	chr10	FALSE	TRUE
Nhlrc1	chr13	FALSE	TRUE
Dct	chr14	FALSE	TRUE
Igf1	chr10	FALSE	FALSE
Abcb6	chr1	FALSE	FALSE
Ltbp1	chr17	FALSE	FALSE
Ankrd2	chr19	FALSE	FALSE
Thtpa	chr14	FALSE	FALSE
Kcnj5	chr9	FALSE	FALSE
Metap2	chr10	FALSE	FALSE
Tinagl1	chr4	FALSE	FALSE
Zfp687	chr3	FALSE	FALSE
Zfp36	chr7	FALSE	FALSE
Gcat	chr15	FALSE	TRUE
Chst14	chr2	FALSE	FALSE
Tmem72	chr6	FALSE	FALSE
Hs3st6	chr17	FALSE	FALSE
Trim66	chr7	FALSE	TRUE
Epcam	chr17	FALSE	TRUE
Trim52	chr14	FALSE	TRUE
Zfp937	chr2	FALSE	TRUE
Ypel5	chr17	FALSE	FALSE
Nsmce1	chr7	FALSE	FALSE
Esrp1	chr4	FALSE	FALSE
Mxra7	chr11	FALSE	FALSE
Hbq1a	chr11	FALSE	FALSE
Actc1	chr2	FALSE	FALSE
Rab43	chr6	FALSE	TRUE
Ahrr	chr13	FALSE	TRUE
Cdr2l	chr11	FALSE	FALSE
Nexn	chr3	FALSE	FALSE
Serpina3n	chr12	FALSE	FALSE
Cdcp2	chr4	FALSE	TRUE
Prob1	chr18	FALSE	FALSE
Top1mt	chr15	FALSE	FALSE
Otop3	chr11	FALSE	FALSE
Atoh7	chr10	FALSE	TRUE
Arf1	chr11	FALSE	FALSE
Cplx4	chr18	FALSE	FALSE
Ccdc80	chr16	FALSE	TRUE
Arsb	chr13	FALSE	TRUE
Gp9	chr6	FALSE	FALSE
Carlr	chr2	FALSE	FALSE
Dpf3	chr12	FALSE	FALSE
Dyrk3	chr1	FALSE	TRUE
Inhba	chr13	FALSE	TRUE
Tnip2	chr5	FALSE	FALSE
Spint1	chr2	FALSE	TRUE
Zfat	chr15	FALSE	TRUE
Rac3	chr11	FALSE	FALSE
Dtl	chr1	FALSE	TRUE
Tns3	chr11	FALSE	FALSE
Igfn1	chr1	FALSE	FALSE
Tdrd3	chr14	FALSE	FALSE
Qsox2	chr2	FALSE	FALSE
Tmem35a	chrX	FALSE	TRUE
Ect2	chr3	FALSE	TRUE
Npy4r	chr14	FALSE	FALSE
Lmntd2	chr7	FALSE	FALSE
Dlx3	chr11	FALSE	FALSE
Akap11	chr14	FALSE	TRUE
Elac2	chr11	FALSE	FALSE
Abca7	chr10	FALSE	TRUE
Dusp9	chrX	FALSE	FALSE
Npas4	chr19	FALSE	FALSE
Rtn4rl2	chr2	FALSE	FALSE
Zfp750	chr11	FALSE	FALSE
Map3k7cl	chr16	FALSE	TRUE
Tppp	chr13	FALSE	TRUE
Dlx5	chr6	FALSE	FALSE
Gipc2	chr3	FALSE	TRUE
1700029H14Rik	chr8	FALSE	FALSE
Eya4	chr10	FALSE	FALSE
Erlin2	chr8	FALSE	TRUE
Pdzrn3	chr6	FALSE	FALSE
Lpcat2	chr8	FALSE	FALSE
Piezo2	chr18	FALSE	FALSE
Phldb3	chr7	FALSE	FALSE
Tifa	chr3	FALSE	FALSE
Tbc1d4	chr14	FALSE	TRUE
Utrn	chr10	FALSE	TRUE
Smim10l1	chr6	FALSE	TRUE
Frk	chr10	FALSE	TRUE
Krt72	chr15	FALSE	FALSE
Flrt2	chr12	FALSE	TRUE
Dusp23	chr1	FALSE	FALSE
Carmil3	chr14	FALSE	FALSE
Dnajb5	chr4	FALSE	TRUE
Lipe	chr7	FALSE	FALSE
Emx1	chr6	FALSE	FALSE
Tst	chr15	FALSE	TRUE
Tmprss15	chr16	FALSE	TRUE
Ltc4s	chr11	FALSE	FALSE
4933407L21Rik	chr1	FALSE	FALSE
Sctr	chr1	FALSE	FALSE
Tlr3	chr8	FALSE	TRUE
Kcna6	chr6	FALSE	FALSE
Osgin1	chr8	FALSE	FALSE
Gpr179	chr11	FALSE	FALSE
Med26	chr8	FALSE	FALSE
Gfpt2	chr11	FALSE	FALSE
Lbh	chr17	FALSE	TRUE
Gng10	chr4	FALSE	TRUE
Reg3g	chr6	FALSE	TRUE
Plpp1	chr13	FALSE	TRUE
BC024139	chr15	FALSE	FALSE
Cacng1	chr11	FALSE	FALSE
Sulf2	chr2	FALSE	FALSE
Arhgap9	chr10	FALSE	FALSE
Plbd1	chr6	FALSE	FALSE
Zdhhc13	chr7	FALSE	TRUE
Sucnr1	chr3	FALSE	TRUE
Krt78	chr15	FALSE	FALSE
Slc16a1	chr3	FALSE	TRUE
Ccnyl1	chr1	FALSE	TRUE
Kcns2	chr15	FALSE	TRUE
Acot5	chr12	FALSE	FALSE
Fam174b	chr7	FALSE	TRUE
Alcam	chr16	FALSE	TRUE
Reep6	chr10	FALSE	FALSE
Gata5	chr2	FALSE	FALSE
Crybg2	chr4	FALSE	FALSE
Mmp11	chr10	FALSE	FALSE
Ereg	chr5	FALSE	TRUE
Utp18	chr11	FALSE	FALSE
Itgb3	chr11	FALSE	TRUE
Kank4	chr4	FALSE	FALSE
Syde2	chr3	FALSE	FALSE
Calhm2	chr19	FALSE	FALSE
Sel1l	chr12	FALSE	FALSE
Hspb3	chr13	FALSE	FALSE
Pllp	chr8	FALSE	FALSE
Hacd1	chr2	FALSE	TRUE
Cavin1	chr11	FALSE	FALSE
Kctd11	chr11	FALSE	TRUE
Olig3	chr10	FALSE	FALSE
Rxfp3	chr15	FALSE	FALSE
Atp1a2	chr1	FALSE	TRUE
Irf6	chr1	FALSE	FALSE
Prpf38b	chr3	FALSE	TRUE
Cfap58	chr19	FALSE	FALSE
Cdyl	chr13	FALSE	TRUE
Tlr5	chr1	FALSE	FALSE
Parp1	chr1	FALSE	TRUE
Twsg1	chr17	FALSE	TRUE
Gprc5c	chr11	FALSE	FALSE
Srxn1	chr2	FALSE	FALSE
Ranbp3	chr17	FALSE	FALSE
Dbndd1	chr8	FALSE	FALSE
Slc9b2	chr3	FALSE	FALSE
Psrc1	chr3	FALSE	FALSE
Pik3r4	chr9	FALSE	FALSE
Rnf215	chr11	FALSE	FALSE
Jun	chr4	FALSE	FALSE
Nsg1	chr5	FALSE	TRUE
Tmem161a	chr8	FALSE	FALSE
Gng5	chr3	FALSE	FALSE
Apaf1	chr10	FALSE	FALSE
Pnma3	chrX	FALSE	TRUE
Msrb2	chr2	FALSE	TRUE
Vrk2	chr11	FALSE	FALSE
Efna3	chr3	FALSE	FALSE
Ccno	chr13	FALSE	FALSE
Eef2k	chr7	FALSE	FALSE
Cdkn2a	chr4	FALSE	FALSE
Trip13	chr13	FALSE	TRUE
Grpel2	chr18	FALSE	TRUE
Ccdc97	chr7	FALSE	FALSE
Pnkd	chr1	FALSE	FALSE
Smg5	chr3	FALSE	FALSE
Dgka	chr10	FALSE	TRUE
Tslp	chr18	FALSE	FALSE
Ptbp3	chr4	FALSE	TRUE
Grm5	chr7	FALSE	FALSE
Ces2h	chr8	FALSE	FALSE
Angel2	chr1	FALSE	FALSE
Gjb2	chr14	FALSE	FALSE
Sall4	chr2	FALSE	FALSE
Tafa3	chr3	FALSE	FALSE
Ifnar1	chr16	FALSE	TRUE
Ascl4	chr10	FALSE	TRUE
Tmbim1	chr1	TRUE	TRUE
Met	chr6	FALSE	FALSE
Spag4	chr2	FALSE	FALSE
Tssk3	chr4	FALSE	FALSE
Crtac1	chr19	FALSE	FALSE
Bag2	chr1	FALSE	TRUE
Gpt2	chr8	FALSE	FALSE
Cnmd	chr14	FALSE	TRUE
Bpifa2	chr2	FALSE	FALSE
Cpeb4	chr11	FALSE	TRUE
Hk3	chr13	FALSE	FALSE
Frmd3	chr4	FALSE	TRUE
Plcxd2	chr16	FALSE	TRUE
Nutf2	chr8	FALSE	TRUE
Enpp1	chr10	FALSE	FALSE
Rab15	chr12	FALSE	TRUE
Sgk1	chr10	FALSE	TRUE
Pim3	chr15	FALSE	FALSE
Wdtc1	chr4	FALSE	FALSE
Dhx40	chr11	FALSE	TRUE
Dpysl4	chr7	FALSE	FALSE
Aadat	chr8	FALSE	TRUE
2310011J03Rik	chr10	FALSE	FALSE
Ddx27	chr2	FALSE	FALSE
Mex3c	chr18	FALSE	FALSE
Tmem183a	chr1	FALSE	FALSE
Dnmt3b	chr2	FALSE	TRUE
Chsy1	chr7	FALSE	FALSE
Slurp2	chr15	FALSE	FALSE
Nt5c1b	chr12	FALSE	FALSE
Hsd11b1	chr1	FALSE	FALSE
Scamp1	chr13	FALSE	TRUE
Bcl9l	chr9	FALSE	FALSE
Ldb3	chr14	FALSE	FALSE
Sema4f	chr6	FALSE	FALSE
Fbxo43	chr15	FALSE	TRUE
Pkdrej	chr15	FALSE	FALSE
Amer1	chrX	FALSE	TRUE
Ajap1	chr4	FALSE	FALSE
Engase	chr11	FALSE	FALSE
Cwh43	chr5	FALSE	FALSE
Tgm1	chr14	FALSE	FALSE
Prelid2	chr18	FALSE	FALSE
Tmem222	chr4	FALSE	FALSE
Car2	chr3	FALSE	TRUE
Cd63	chr10	FALSE	FALSE
Tmem37	chr1	FALSE	FALSE
Lypd3	chr7	FALSE	FALSE
Atp1b3	chr9	FALSE	TRUE
Hoxb9	chr11	FALSE	FALSE
Ogt	chrX	FALSE	FALSE
Krt90	chr15	FALSE	FALSE
Kcne4	chr1	FALSE	FALSE
Gas2l3	chr10	FALSE	FALSE
Twist2	chr1	FALSE	FALSE
Mtch1	chr17	FALSE	FALSE
Adamts15	chr9	FALSE	FALSE
Ccdc102a	chr8	FALSE	FALSE
Il10rb	chr16	FALSE	FALSE
Sptssa	chr12	FALSE	TRUE
Rtn4r	chr16	FALSE	TRUE
Sdhaf3	chr6	FALSE	TRUE
Slc4a1	chr11	FALSE	FALSE
Tle6	chr10	FALSE	FALSE
Gm3383	chr14	FALSE	TRUE
Rfesd	chr13	FALSE	TRUE
Fam110b	chr4	FALSE	FALSE
Maoa	chrX	FALSE	TRUE
Phgdh	chr3	FALSE	FALSE
Grem1	chr2	FALSE	FALSE
Nus1	chr10	FALSE	TRUE
Idua	chr5	FALSE	TRUE
Gpr27	chr6	FALSE	TRUE
Gm5460	chr14	FALSE	FALSE
Tkt	chr14	FALSE	TRUE
Sidt2	chr9	FALSE	FALSE
Hpf1	chr8	FALSE	TRUE
Ccdc126	chr6	FALSE	TRUE
Hspa12b	chr2	FALSE	FALSE
Elfn2	chr15	FALSE	FALSE
Bean1	chr8	FALSE	FALSE
Ro60	chr1	FALSE	TRUE
Fbn2	chr18	FALSE	FALSE
Nhlh2	chr3	TRUE	TRUE
Ctnnb1	chr9	FALSE	FALSE
Ankrd7	chr6	FALSE	TRUE
Gpsm1	chr2	FALSE	FALSE
Traf3ip2	chr10	FALSE	FALSE
Inpp5j	chr11	FALSE	FALSE
Henmt1	chr3	FALSE	TRUE
Prlhr	chr19	FALSE	FALSE
Aga	chr8	FALSE	TRUE
Kiss1r	chr10	FALSE	TRUE
Gng2	chr14	FALSE	TRUE
Lancl1	chr1	FALSE	TRUE
Smad9	chr3	FALSE	TRUE
Vamp8	chr6	FALSE	TRUE
Pla2g4d	chr2	FALSE	TRUE
Trim16	chr11	FALSE	FALSE
Armcx4	chrX	FALSE	FALSE
Spdef	chr17	FALSE	FALSE
Cdkn2d	chr9	FALSE	FALSE
Rbm4	chr19	FALSE	FALSE
Ntsr2	chr12	FALSE	FALSE
Dbf4	chr5	FALSE	TRUE
Dcaf11	chr14	FALSE	TRUE
Iffo1	chr6	FALSE	FALSE
Tcf15	chr2	FALSE	FALSE
Wdr1	chr5	FALSE	FALSE
Tc2n	chr12	FALSE	FALSE
Cyp51	chr5	FALSE	TRUE
Slc7a4	chr16	FALSE	FALSE
Gpr137	chr19	FALSE	TRUE
Nr2f6	chr8	FALSE	TRUE
Tnfsf13b	chr8	FALSE	TRUE
Ppp1r3c	chr19	FALSE	FALSE
Prrg4	chr2	FALSE	FALSE
Paqr3	chr5	FALSE	FALSE
Tmem106c	chr15	FALSE	FALSE
Tnfrsf1a	chr6	FALSE	FALSE
Des	chr1	FALSE	FALSE
Rflnb	chr11	FALSE	FALSE
Myl12b	chr17	FALSE	FALSE
Tsga10	chr1	FALSE	TRUE
Ptpa	chr2	FALSE	FALSE
Pdp1	chr4	FALSE	TRUE
Gc	chr5	FALSE	TRUE
Inhbb	chr1	FALSE	FALSE
Fads2	chr19	FALSE	FALSE
Wnt8a	chr18	FALSE	FALSE
Doc2a	chr7	FALSE	FALSE
Mgst3	chr1	FALSE	TRUE
Atp6v1b1	chr6	FALSE	FALSE
Inafm2	chr2	FALSE	TRUE
Lrrc9	chr12	FALSE	FALSE
F11	chr8	FALSE	FALSE
Cyp46a1	chr12	FALSE	FALSE
Map9	chr3	FALSE	TRUE
Cpne4	chr9	FALSE	FALSE
Selenoi	chr5	FALSE	TRUE
Ttc24	chr3	FALSE	FALSE
Sema3d	chr5	FALSE	TRUE
Styk1	chr6	FALSE	FALSE
Rin1	chr19	FALSE	FALSE
Cyp8b1	chr9	FALSE	FALSE
Aqp2	chr15	FALSE	FALSE
Ccne2	chr4	FALSE	TRUE
Rb1cc1	chr1	FALSE	FALSE
Abcb1a	chr5	FALSE	TRUE
Imp4	chr1	FALSE	TRUE
Zfp708	chr13	FALSE	TRUE
Large2	chr2	FALSE	TRUE
Sp1	chr15	FALSE	FALSE
Tspo	chr15	FALSE	FALSE
Bpifb4	chr2	FALSE	FALSE
Baz2a	chr10	FALSE	TRUE
Asic3	chr5	FALSE	FALSE
Rhobtb2	chr14	FALSE	TRUE
Mtpn	chr6	FALSE	TRUE
F7	chr8	FALSE	FALSE
Trpc6	chr9	FALSE	TRUE
Apbb1ip	chr2	FALSE	FALSE
Mylk4	chr13	FALSE	FALSE
Rasd2	chr8	FALSE	TRUE
Pcbp4	chr9	FALSE	FALSE
